source,target,length,road_type_id,maxspeed,lanes,bridge,tunnel,oneway
0,7510,20.525495963590913,5,0.0,1.0,0.0,0.0,0.0
0,11606,372.8995567207196,5,0.0,1.0,0.0,0.0,0.0
0,8399,295.05577461779137,4,0.0,1.0,0.0,0.0,1.0
1,7837,13.804533448921797,3,0.0,1.0,0.0,0.0,0.0
2,11230,26.674968633133865,5,0.0,1.0,0.0,0.0,0.0
3,7,129.44423636794622,5,0.0,1.0,0.0,0.0,0.0
4,6,22.748055865701602,5,0.0,1.0,0.0,0.0,0.0
5,9,69.54317079070265,5,0.0,1.0,0.0,0.0,0.0
5,7,9.061183298526016,5,0.0,1.0,0.0,0.0,0.0
6,10,62.98728584395265,5,0.0,1.0,0.0,0.0,0.0
6,8,55.416426981242104,5,0.0,1.0,0.0,0.0,0.0
6,4,22.748055865701602,5,0.0,1.0,0.0,0.0,0.0
7,5,9.061183298526016,5,0.0,1.0,0.0,0.0,0.0
7,8,35.54366703443523,5,0.0,1.0,0.0,0.0,0.0
7,3,129.44423636794622,5,0.0,1.0,0.0,0.0,0.0
8,6,55.416426981242104,5,0.0,1.0,0.0,0.0,0.0
8,7,35.54366703443523,5,0.0,1.0,0.0,0.0,0.0
8,11,22.449711235758453,5,0.0,1.0,0.0,0.0,0.0
9,9200,34.77294297075203,5,0.0,1.0,0.0,0.0,0.0
9,5,69.54317079070265,5,0.0,1.0,0.0,0.0,0.0
9,12,31.163761499392173,5,0.0,1.0,0.0,0.0,0.0
10,6,62.98728584395265,5,0.0,1.0,0.0,0.0,0.0
11,13,56.59032736562484,5,0.0,1.0,0.0,0.0,0.0
11,8,22.449711235758453,5,0.0,1.0,0.0,0.0,0.0
12,9,31.163761499392173,5,0.0,1.0,0.0,0.0,0.0
13,11,56.59032736562484,5,0.0,1.0,0.0,0.0,0.0
13,14,56.823910012373915,5,0.0,1.0,0.0,0.0,0.0
13,8106,181.51743265765907,5,0.0,1.0,0.0,0.0,0.0
14,13,56.823910012373915,5,0.0,1.0,0.0,0.0,0.0
14,17,156.65752983350347,5,0.0,1.0,0.0,0.0,0.0
14,15,150.70330241270943,5,0.0,1.0,0.0,0.0,0.0
15,19,52.61008309552177,5,0.0,1.0,0.0,0.0,0.0
15,16,21.693116918429293,5,0.0,1.0,0.0,0.0,0.0
15,14,150.70330241270943,5,0.0,1.0,0.0,0.0,0.0
16,15,21.693116918429293,5,0.0,1.0,0.0,0.0,0.0
17,20,43.62956824379533,5,0.0,1.0,0.0,0.0,0.0
17,19,50.78078707336878,5,0.0,1.0,0.0,0.0,0.0
17,14,156.65752983350345,5,0.0,1.0,0.0,0.0,0.0
18,20,54.11325774905312,5,0.0,1.0,0.0,0.0,0.0
19,24,101.19155676320223,5,0.0,1.0,0.0,0.0,0.0
19,15,52.61008309552177,5,0.0,1.0,0.0,0.0,0.0
19,17,50.78078707336878,5,0.0,1.0,0.0,0.0,0.0
20,18,54.11325774905312,5,0.0,1.0,0.0,0.0,0.0
20,23,59.77698443754944,5,0.0,1.0,0.0,0.0,0.0
20,17,43.62956824379533,5,0.0,1.0,0.0,0.0,0.0
21,25,100.29662682175804,5,0.0,1.0,0.0,0.0,0.0
22,23,11.884918050612644,5,0.0,1.0,0.0,0.0,0.0
23,20,59.77698443754944,5,0.0,1.0,0.0,0.0,0.0
23,22,11.884918050612644,5,0.0,1.0,0.0,0.0,0.0
23,24,52.64414445160125,5,0.0,1.0,0.0,0.0,0.0
24,19,101.19155676320223,5,0.0,1.0,0.0,0.0,0.0
24,23,52.64414445160125,5,0.0,1.0,0.0,0.0,0.0
24,26,15.605437620097577,5,0.0,1.0,0.0,0.0,0.0
25,29,48.714703774583846,5,0.0,1.0,0.0,0.0,0.0
25,28,20.19733695228495,5,0.0,1.0,0.0,0.0,0.0
25,21,100.29662682175804,5,0.0,1.0,0.0,0.0,0.0
26,30,57.95151113341603,5,0.0,1.0,0.0,0.0,0.0
26,24,15.605437620097577,5,0.0,1.0,0.0,0.0,0.0
26,28,33.65360861926188,5,0.0,1.0,0.0,0.0,0.0
27,30,60.368775806458984,5,0.0,1.0,0.0,0.0,0.0
28,39,141.5474464660168,5,0.0,1.0,0.0,0.0,0.0
28,25,20.19733695228495,5,0.0,1.0,0.0,0.0,0.0
28,26,33.65360861926188,5,0.0,1.0,0.0,0.0,0.0
29,25,48.714703774583846,5,0.0,1.0,0.0,0.0,0.0
29,31,41.556480099382,5,0.0,1.0,0.0,0.0,0.0
29,33,45.512849852109774,5,0.0,1.0,0.0,0.0,0.0
29,8623,94.01433634043377,5,0.0,1.0,0.0,0.0,0.0
30,27,60.368775806458984,5,0.0,1.0,0.0,0.0,0.0
30,34,47.67151828035261,5,0.0,1.0,0.0,0.0,0.0
30,26,57.95151113341603,5,0.0,1.0,0.0,0.0,0.0
31,29,41.556480099382,5,0.0,1.0,0.0,0.0,0.0
32,34,34.997723384719656,5,0.0,1.0,0.0,0.0,0.0
33,36,79.64802877723149,5,0.0,1.0,0.0,0.0,0.0
33,29,45.512849852109774,5,0.0,1.0,0.0,0.0,0.0
33,35,36.36061433167939,5,0.0,1.0,0.0,0.0,0.0
34,32,34.997723384719656,5,0.0,1.0,0.0,0.0,0.0
34,38,75.29492071205692,5,0.0,1.0,0.0,0.0,0.0
34,30,47.67151828035261,5,0.0,1.0,0.0,0.0,0.0
35,40,80.76606690181198,5,0.0,1.0,0.0,0.0,0.0
35,33,36.36061433167939,5,0.0,1.0,0.0,0.0,0.0
35,37,39.72022466530531,5,0.0,1.0,0.0,0.0,0.0
36,40,38.786673857603766,5,0.0,1.0,0.0,0.0,0.0
36,33,79.64802877723149,5,0.0,1.0,0.0,0.0,0.0
36,9188,6.974810705658802,5,0.0,1.0,0.0,0.0,0.0
37,41,58.524885684557404,5,0.0,1.0,0.0,0.0,0.0
37,35,39.72022466530531,5,0.0,1.0,0.0,0.0,0.0
37,42,43.38553977600342,5,0.0,1.0,0.0,0.0,0.0
38,34,75.29492071205692,5,0.0,1.0,0.0,0.0,0.0
38,8462,1.5744200558731372,3,0.0,1.0,0.0,0.0,0.0
39,42,45.883439726808874,5,0.0,1.0,0.0,0.0,0.0
39,7368,34.38094714409546,5,0.0,1.0,0.0,0.0,0.0
39,28,141.5474464660168,5,0.0,1.0,0.0,0.0,0.0
40,36,38.786673857603766,5,0.0,1.0,0.0,0.0,0.0
40,9187,6.715214113875867,5,0.0,1.0,0.0,0.0,0.0
40,35,80.76606690181198,5,0.0,1.0,0.0,0.0,0.0
41,37,58.524885684557404,5,0.0,1.0,0.0,0.0,0.0
42,39,45.883439726808874,5,0.0,1.0,0.0,0.0,0.0
42,43,89.03747480588389,5,0.0,1.0,0.0,0.0,0.0
42,37,43.38553977600342,5,0.0,1.0,0.0,0.0,0.0
43,42,89.03747480588389,5,0.0,1.0,0.0,0.0,0.0
43,9187,81.21020355204804,5,0.0,1.0,0.0,0.0,0.0
43,8620,223.00700191403115,5,0.0,1.0,0.0,0.0,0.0
44,45,9.845483161601926,5,0.0,1.0,0.0,0.0,0.0
44,47,64.48703286458004,5,0.0,1.0,0.0,0.0,0.0
45,44,9.845483161601926,5,0.0,1.0,0.0,0.0,0.0
45,46,31.675947890239833,5,0.0,1.0,0.0,0.0,0.0
46,45,31.675947890239833,5,0.0,1.0,0.0,0.0,0.0
46,9114,5.422487239376805,5,0.0,1.0,0.0,0.0,0.0
46,49,68.43158160443984,5,0.0,1.0,0.0,0.0,0.0
47,44,64.48703286458004,5,0.0,1.0,0.0,0.0,0.0
48,9114,36.48563314917575,5,0.0,1.0,0.0,0.0,0.0
48,51,42.13968820926092,5,0.0,1.0,0.0,0.0,0.0
48,52,67.19383794812614,5,0.0,1.0,0.0,0.0,0.0
49,46,68.43158160443984,5,0.0,1.0,0.0,0.0,0.0
50,53,45.130471328696856,5,0.0,1.0,0.0,0.0,0.0
51,48,42.13968820926092,5,0.0,1.0,0.0,0.0,0.0
51,55,44.20052369233748,5,0.0,1.0,0.0,0.0,0.0
51,56,65.26507624710742,5,0.0,1.0,0.0,0.0,0.0
52,48,67.19383794812614,5,0.0,1.0,0.0,0.0,0.0
53,50,45.130471328696856,5,0.0,1.0,0.0,0.0,0.0
