source,target,length,road_type_id,maxspeed,lanes,bridge,tunnel,oneway
0,6219,86.23125021608809,3,0.0,2.0,0.0,0.0,0.0
0,6363,4969.399378927277,3,0.0,2.0,0.0,0.0,0.0
1,6282,27.630364172102755,4,0.0,1.0,0.0,0.0,0.0
1,6225,2444.5738481068324,3,0.0,2.0,0.0,0.0,0.0
1,6224,702.1179153387411,3,0.0,2.0,0.0,0.0,0.0
2,227,313.6610917077526,3,0.0,2.0,0.0,0.0,0.0
2,6596,1063.71430896374,3,0.0,2.0,0.0,0.0,0.0
2,6572,9470.98896439543,4,0.0,1.0,1.0,0.0,0.0
3,5,463.44125506238817,4,0.0,1.0,0.0,0.0,0.0
4,6282,179.865360745543,4,0.0,1.0,0.0,0.0,0.0
4,5,572.5893673420101,4,0.0,1.0,0.0,0.0,0.0
4,6582,3264.415498546005,7,0.0,1.0,1.0,0.0,0.0
5,3,463.4412550623883,4,0.0,1.0,0.0,0.0,0.0
5,4,572.5893673420103,4,0.0,1.0,0.0,0.0,0.0
5,6580,3007.281896600594,4,0.0,1.0,0.0,0.0,0.0
6,6283,497.1768638642909,4,0.0,1.0,0.0,0.0,0.0
6,821,655.78019687879,4,0.0,1.0,0.0,0.0,0.0
6,6580,2917.074941472052,4,0.0,1.0,1.0,0.0,0.0
7,4186,95.84087276195201,1,0.0,2.0,0.0,0.0,0.0
7,115,477.3216892820684,1,0.0,2.0,0.0,0.0,0.0
7,4210,125.47175686027441,5,0.0,1.0,0.0,0.0,0.0
8,4156,286.8609005394969,1,0.0,2.0,0.0,0.0,0.0
8,4160,55.874204352849674,1,0.0,2.0,0.0,0.0,0.0
8,114,1315.8134673151585,4,0.0,1.0,0.0,0.0,0.0
9,35,744.4039765775013,1,0.0,2.0,0.0,0.0,0.0
9,185,2466.52533936372,1,0.0,2.0,1.0,0.0,0.0
9,841,3046.672787941496,7,0.0,1.0,0.0,0.0,0.0
10,55,6.541807452259616,4,0.0,1.0,0.0,0.0,0.0
10,187,241.978484009863,1,0.0,2.0,0.0,0.0,0.0
10,66,470.8306744737359,1,0.0,2.0,0.0,0.0,0.0
11,79,117.05063842619614,3,0.0,2.0,0.0,0.0,0.0
11,76,103.93139672339885,4,0.0,1.0,0.0,0.0,0.0
11,66,525.8425503453351,1,0.0,2.0,0.0,0.0,0.0
11,12,72.87899672994676,1,0.0,2.0,0.0,0.0,0.0
12,85,33.48717068774895,4,0.0,1.0,0.0,0.0,0.0
12,5202,250.90461618861974,1,0.0,2.0,0.0,0.0,1.0
12,11,72.87899672994676,1,0.0,2.0,0.0,0.0,0.0
13,6604,220.3755593547217,3,0.0,2.0,0.0,0.0,0.0
13,196,260.96447388189864,3,0.0,2.0,0.0,0.0,0.0
13,183,142.0213626664023,7,0.0,1.0,0.0,0.0,0.0
14,15,166.70894016606934,1,0.0,2.0,0.0,0.0,1.0
14,86,79.45711456425069,4,0.0,1.0,0.0,0.0,0.0
15,5205,7.530226743867875,7,0.0,1.0,0.0,0.0,0.0
15,92,35.82123405807192,1,0.0,2.0,0.0,0.0,1.0
16,4481,300.0895007252289,3,0.0,2.0,0.0,0.0,0.0
16,2329,155.74193178156574,3,0.0,2.0,0.0,0.0,0.0
16,4472,95.07737272533457,7,0.0,1.0,0.0,0.0,0.0
17,4411,58.96979141198266,3,0.0,2.0,0.0,0.0,0.0
17,4431,969.3263151991439,3,0.0,2.0,0.0,0.0,0.0
17,4336,119.76692120895008,7,0.0,1.0,0.0,0.0,0.0
18,2107,10.005921121704885,1,0.0,2.0,0.0,0.0,0.0
18,5006,451.1014181438145,1,0.0,2.0,0.0,0.0,0.0
18,1592,107.97422107075123,7,0.0,1.0,1.0,0.0,0.0
19,1825,108.66555687527091,1,0.0,2.0,0.0,0.0,0.0
19,2103,137.6515729556108,1,0.0,2.0,0.0,0.0,0.0
19,181,321.4111942753775,7,0.0,1.0,0.0,0.0,0.0
20,2161,9.36562089743066,5,0.0,1.0,0.0,0.0,0.0
20,441,1943.5021104002424,1,0.0,2.0,0.0,0.0,0.0
21,618,32.01824274616023,3,0.0,2.0,0.0,0.0,0.0
21,555,35.177125153796645,4,0.0,1.0,0.0,0.0,0.0
21,108,33.970490220214195,3,0.0,2.0,0.0,0.0,0.0
22,28,7316.36677293908,3,0.0,2.0,1.0,0.0,0.0
22,637,2789.083769048802,3,0.0,2.0,0.0,0.0,0.0
22,6743,1853.3502833564646,7,0.0,1.0,0.0,0.0,0.0
23,227,3.831100733343201,3,0.0,2.0,0.0,0.0,0.0
23,28,7108.9433621009275,3,0.0,2.0,0.0,0.0,0.0
23,105,9898.757461668369,4,0.0,1.0,1.0,0.0,0.0
24,139,61.13402194811728,4,0.0,1.0,0.0,0.0,0.0
24,25,22.69246953246228,4,0.0,1.0,0.0,0.0,0.0
24,2707,3491.235706490418,4,0.0,1.0,1.0,0.0,0.0
25,142,462.80937659042235,4,0.0,1.0,0.0,0.0,0.0
25,24,22.69246953246228,4,0.0,1.0,0.0,0.0,0.0
25,146,611.7511525526173,4,0.0,1.0,0.0,0.0,0.0
26,822,36.24327116236158,4,0.0,1.0,0.0,0.0,0.0
26,143,69.74774673713327,4,0.0,1.0,0.0,0.0,0.0
26,27,656.0751444722223,4,0.0,1.0,0.0,0.0,0.0
26,150,4385.918124959916,4,0.0,1.0,1.0,0.0,0.0
27,163,4195.08043732734,4,0.0,1.0,1.0,0.0,0.0
27,26,656.0751444722222,4,0.0,1.0,0.0,0.0,0.0
27,141,477.6487018336909,4,0.0,1.0,0.0,0.0,0.0
28,6579,36.90398751235621,3,0.0,2.0,0.0,0.0,0.0
28,23,7108.943362100928,3,0.0,2.0,0.0,0.0,0.0
28,22,7316.366772939078,3,0.0,2.0,1.0,0.0,0.0
29,106,95.07498783476899,7,0.0,1.0,0.0,0.0,0.0
29,37,12566.357356515937,3,0.0,2.0,0.0,0.0,0.0
29,6579,640.7632427054579,3,0.0,2.0,0.0,0.0,0.0
30,4065,503.2577992652258,3,0.0,2.0,0.0,0.0,1.0
31,4144,786.5073487833266,7,0.0,1.0,0.0,0.0,0.0
31,32,539.391353583027,3,0.0,2.0,0.0,0.0,1.0
32,5201,8.812936866786895,4,0.0,1.0,0.0,0.0,0.0
32,33,1582.4066444813263,3,0.0,2.0,0.0,0.0,1.0
33,5197,127.20770547446074,3,0.0,2.0,0.0,0.0,1.0
33,34,96.73293329318653,3,0.0,2.0,0.0,0.0,0.0
34,5200,64.4425900736921,3,0.0,2.0,0.0,0.0,1.0
34,33,96.73293329318653,3,0.0,2.0,0.0,0.0,0.0
35,250,56.49560344930026,1,0.0,2.0,0.0,0.0,0.0
35,9,744.4039765775013,1,0.0,2.0,0.0,0.0,0.0
35,34,78.46305713126638,3,0.0,2.0,0.0,0.0,1.0
36,37,249.49745214521903,3,0.0,2.0,0.0,0.0,0.0
36,38,516.6996525627463,3,0.0,2.0,0.0,0.0,0.0
36,212,563.514561695194,4,0.0,1.0,0.0,0.0,0.0
36,216,497.2870099669321,7,0.0,1.0,0.0,0.0,0.0
37,209,4.734081883664049,4,0.0,1.0,0.0,0.0,0.0
37,36,249.49745214521903,3,0.0,2.0,0.0,0.0,0.0
37,29,12566.357356515939,3,0.0,2.0,0.0,0.0,0.0
38,206,22.21143535694175,3,0.0,2.0,0.0,0.0,0.0
38,36,516.6996525627463,3,0.0,2.0,0.0,0.0,0.0
38,209,496.3869256874921,5,0.0,1.0,0.0,0.0,0.0
39,41,171.42183519985977,4,0.0,1.0,0.0,0.0,0.0
40,206,94.71568984501114,3,0.0,2.0,0.0,0.0,0.0
40,5570,8610.741376640686,3,0.0,2.0,0.0,0.0,0.0
40,210,118.95569093149885,4,0.0,1.0,0.0,0.0,0.0
41,39,171.42183519985977,4,0.0,1.0,0.0,0.0,0.0
41,42,69.46551703180805,4,0.0,1.0,0.0,0.0,0.0
41,204,3526.6435167939053,4,0.0,1.0,0.0,0.0,0.0
42,41,69.46551703180805,4,0.0,1.0,0.0,0.0,0.0
42,5778,4934.7775062489545,4,0.0,1.0,1.0,0.0,0.0
42,43,204.72147005555934,4,0.0,1.0,0.0,0.0,0.0
43,42,204.72147005555934,4,0.0,1.0,0.0,0.0,0.0
44,5953,99.15952530062532,4,0.0,1.0,0.0,0.0,0.0
44,6038,88.09243053031906,4,0.0,1.0,0.0,0.0,0.0
44,5951,240.68166517373237,4,0.0,1.0,0.0,0.0,0.0
45,5711,163.85715292480418,4,0.0,1.0,1.0,0.0,0.0
45,5700,1064.1320876701614,4,0.0,1.0,0.0,0.0,0.0
45,5702,916.3184658813299,7,0.0,1.0,0.0,0.0,0.0
46,5759,1765.4337388236124,4,0.0,1.0,1.0,0.0,0.0
46,74,471.8386654297525,4,0.0,1.0,0.0,0.0,0.0
46,6038,519.251134571215,4,0.0,1.0,0.0,0.0,0.0
47,5195,7.773156105838205,4,0.0,1.0,0.0,0.0,0.0
47,14,576.3192219615861,1,0.0,2.0,0.0,0.0,1.0
47,1773,324.5205542329282,4,0.0,1.0,0.0,0.0,0.0
48,49,420.72921790862637,3,0.0,2.0,0.0,0.0,0.0
48,5031,1316.6451417583894,3,0.0,2.0,0.0,0.0,0.0
48,1986,23.616317270744673,7,0.0,1.0,0.0,0.0,0.0
49,230,135.10714652811413,1,0.0,2.0,0.0,0.0,0.0
49,1984,464.51195703550803,1,0.0,2.0,0.0,0.0,0.0
49,48,420.7292179086264,3,0.0,2.0,0.0,0.0,0.0
50,6722,283.3647132389356,3,0.0,1.0,0.0,0.0,0.0
50,4930,350.8093265342397,3,0.0,1.0,0.0,0.0,0.0
50,6718,101.6791163535282,5,0.0,1.0,0.0,0.0,0.0
51,456,1033.5830090653699,4,0.0,1.0,0.0,0.0,0.0
51,6578,5313.840905540472,4,0.0,1.0,1.0,0.0,0.0
51,524,416.27309336026775,4,0.0,1.0,0.0,0.0,0.0
52,4818,971.1858237384508,3,0.0,1.0,0.0,0.0,0.0
52,4828,170.70229780831215,3,0.0,1.0,0.0,0.0,0.0
52,4838,69.22161019339178,7,0.0,1.0,0.0,0.0,0.0
53,126,64.49612790079684,4,0.0,1.0,0.0,0.0,0.0
53,4792,331.20524521810955,4,0.0,1.0,0.0,0.0,0.0
53,4807,214.52487314104815,7,0.0,1.0,0.0,0.0,0.0
54,57,372.29203173803154,7,0.0,1.0,0.0,0.0,0.0
54,188,332.11069185843337,7,0.0,1.0,0.0,0.0,0.0
54,56,405.6833113228229,7,0.0,1.0,0.0,0.0,0.0
55,10,6.541807452259616,4,0.0,1.0,0.0,0.0,0.0
55,57,307.3042951763152,4,0.0,1.0,0.0,0.0,0.0
55,186,120.59306976215646,7,0.0,1.0,0.0,0.0,0.0
56,59,61.114719598764076,7,0.0,1.0,0.0,0.0,0.0
56,62,301.5156410941883,7,0.0,1.0,0.0,0.0,0.0
56,54,405.6833113228229,7,0.0,1.0,0.0,0.0,0.0
57,58,15.100220707235254,4,0.0,1.0,0.0,0.0,0.0
57,54,372.29203173803154,7,0.0,1.0,0.0,0.0,0.0
57,55,307.3042951763152,4,0.0,1.0,0.0,0.0,0.0
58,57,15.100220707235254,4,0.0,1.0,0.0,0.0,0.0
58,62,128.72995969766075,4,0.0,1.0,0.0,0.0,0.0
58,61,155.6974481903525,7,0.0,1.0,0.0,0.0,0.0
59,56,61.114719598764076,7,0.0,1.0,0.0,0.0,0.0
59,60,97.57252267203032,5,0.0,1.0,0.0,0.0,0.0
59,65,260.45905536814473,7,0.0,1.0,0.0,0.0,0.0
60,59,97.57252267203032,5,0.0,1.0,0.0,0.0,0.0
60,68,265.1515633374464,7,0.0,1.0,0.0,0.0,0.0
60,63,172.21486757228828,7,0.0,1.0,0.0,0.0,0.0
61,66,210.32125473814526,7,0.0,1.0,0.0,0.0,0.0
61,58,155.6974481903525,7,0.0,1.0,0.0,0.0,0.0
61,73,515.3524475374307,7,0.0,1.0,0.0,0.0,0.0
62,58,128.72995969766075,4,0.0,1.0,0.0,0.0,0.0
62,64,76.6768598667319,4,0.0,1.0,0.0,0.0,0.0
62,56,301.51564109418837,7,0.0,1.0,0.0,0.0,0.0
63,64,39.86875669866182,7,0.0,1.0,0.0,0.0,0.0
63,69,276.2252168020186,7,0.0,1.0,0.0,0.0,0.0
63,60,172.21486757228828,7,0.0,1.0,0.0,0.0,0.0
64,63,39.86875669866182,7,0.0,1.0,0.0,0.0,0.0
64,62,76.6768598667319,4,0.0,1.0,0.0,0.0,0.0
64,70,285.4097410326038,4,0.0,1.0,0.0,0.0,0.0
65,67,38.39916290794495,4,0.0,1.0,0.0,0.0,0.0
65,191,162.39461107077102,4,0.0,1.0,0.0,0.0,0.0
65,59,260.45905536814473,7,0.0,1.0,0.0,0.0,0.0
66,61,210.32125473814526,7,0.0,1.0,0.0,0.0,0.0
66,10,470.8306744737358,1,0.0,2.0,0.0,0.0,0.0
66,11,525.842550345335,1,0.0,2.0,0.0,0.0,0.0
67,68,15.944163848978578,4,0.0,1.0,0.0,0.0,0.0
67,65,38.39916290794495,4,0.0,1.0,0.0,0.0,0.0
67,6204,313.09254612904317,7,0.0,1.0,0.0,0.0,0.0
68,67,15.944163848978578,4,0.0,1.0,0.0,0.0,0.0
68,69,218.0598421381474,4,0.0,1.0,0.0,0.0,0.0
68,60,265.15156333744636,7,0.0,1.0,0.0,0.0,0.0
69,70,50.94060546737184,4,0.0,1.0,0.0,0.0,0.0
69,68,218.0598421381474,4,0.0,1.0,0.0,0.0,0.0
69,71,123.6854854134418,7,0.0,1.0,0.0,0.0,0.0
69,63,276.2252168020186,7,0.0,1.0,0.0,0.0,0.0
70,72,210.7814498719871,4,0.0,1.0,0.0,0.0,0.0
70,69,50.94060546737184,4,0.0,1.0,0.0,0.0,0.0
70,64,285.4097410326038,4,0.0,1.0,0.0,0.0,0.0
70,6205,113.89774560282268,4,0.0,1.0,0.0,0.0,0.0
71,69,123.6854854134418,7,0.0,1.0,0.0,0.0,0.0
72,75,63.79386571897591,4,0.0,1.0,0.0,0.0,0.0
72,70,210.7814498719871,4,0.0,1.0,0.0,0.0,0.0
72,80,217.4571734736789,7,0.0,1.0,0.0,0.0,0.0
73,75,45.96646816993321,7,0.0,1.0,0.0,0.0,0.0
73,76,88.49051767913255,7,0.0,1.0,0.0,0.0,0.0
73,61,515.3524475374309,7,0.0,1.0,0.0,0.0,0.0
74,5773,1084.7095668253298,7,0.0,1.0,1.0,0.0,0.0
74,87,356.76359254330987,4,0.0,1.0,0.0,0.0,0.0
74,46,471.83866542975244,4,0.0,1.0,0.0,0.0,0.0
75,76,67.49895343760649,4,0.0,1.0,0.0,0.0,0.0
75,72,63.79386571897591,4,0.0,1.0,0.0,0.0,0.0
75,73,45.96646816993321,7,0.0,1.0,0.0,0.0,0.0
76,75,67.49895343760649,4,0.0,1.0,0.0,0.0,0.0
76,11,103.93139672339885,4,0.0,1.0,0.0,0.0,0.0
76,73,88.49051767913257,7,0.0,1.0,0.0,0.0,0.0
76,80,318.0445008750141,7,0.0,1.0,0.0,0.0,0.0
77,6202,4.8165829142732735,7,0.0,1.0,0.0,0.0,0.0
77,84,615.407429929527,7,0.0,1.0,0.0,0.0,0.0
77,6204,130.80634902787926,7,0.0,1.0,0.0,0.0,0.0
78,6205,169.0959127278203,4,0.0,1.0,0.0,0.0,0.0
78,6203,11.995650810605992,4,0.0,1.0,0.0,0.0,0.0
78,81,94.87619698746707,7,0.0,1.0,0.0,0.0,0.0
79,11,117.05063842619614,3,0.0,2.0,0.0,0.0,0.0
79,196,306.4668885118757,3,0.0,2.0,0.0,0.0,0.0
79,184,804.0043591327728,7,0.0,1.0,0.0,0.0,0.0
80,76,318.0445008750141,7,0.0,1.0,0.0,0.0,0.0
80,72,217.4571734736789,7,0.0,1.0,0.0,0.0,0.0
80,81,154.51152569337077,7,0.0,1.0,0.0,0.0,0.0
81,82,30.4706672788811,7,0.0,1.0,0.0,0.0,0.0
81,78,94.87619698746707,7,0.0,1.0,0.0,0.0,0.0
81,80,154.51152569337074,7,0.0,1.0,0.0,0.0,0.0
81,83,180.03104353123302,7,0.0,1.0,0.0,0.0,0.0
82,81,30.4706672788811,7,0.0,1.0,0.0,0.0,0.0
82,91,208.6953463199663,7,0.0,1.0,0.0,0.0,0.0
82,89,200.45880079627682,7,0.0,1.0,0.0,0.0,0.0
83,6203,136.66484636102058,4,0.0,1.0,0.0,0.0,0.0
83,6201,13.386276012733966,4,0.0,1.0,0.0,0.0,0.0
83,81,180.03104353123302,7,0.0,1.0,0.0,0.0,0.0
84,86,99.19445562010979,7,0.0,1.0,0.0,0.0,0.0
84,77,615.407429929527,7,0.0,1.0,0.0,0.0,0.0
84,6202,114.56758108385611,7,0.0,1.0,0.0,0.0,0.0
85,12,33.48717068774895,4,0.0,1.0,0.0,0.0,0.0
85,195,362.074749460935,4,0.0,1.0,0.0,0.0,0.0
85,96,452.5645643146378,7,0.0,1.0,0.0,0.0,0.0
86,84,99.19445562010979,7,0.0,1.0,0.0,0.0,0.0
86,6201,75.27579678626246,4,0.0,1.0,0.0,0.0,0.0
86,14,79.45711456425069,4,0.0,1.0,0.0,0.0,0.0
87,5772,888.6457397453098,7,0.0,1.0,1.0,0.0,0.0
87,6606,158.71909442343463,4,0.0,1.0,1.0,0.0,0.0
87,74,356.76359254330987,4,0.0,1.0,0.0,0.0,0.0
88,5202,6.719428181399546,7,0.0,1.0,0.0,0.0,0.0
88,12,250.55601616924386,1,0.0,2.0,0.0,0.0,1.0
89,88,141.01176098757452,1,0.0,2.0,0.0,0.0,1.0
89,82,200.45880079627682,7,0.0,1.0,0.0,0.0,0.0
90,89,8.059503823885748,1,0.0,2.0,0.0,0.0,1.0
90,5203,7.3105004954889585,3,0.0,1.0,0.0,0.0,0.0
91,90,158.20194007865402,1,0.0,2.0,0.0,0.0,1.0
91,82,208.69534631996626,7,0.0,1.0,0.0,0.0,0.0
92,91,4.679866375938799,1,0.0,2.0,0.0,0.0,1.0
92,5204,7.163903681259534,4,0.0,1.0,0.0,0.0,0.0
