x_coord,y_coord
76.8118234,30.6901156
76.746815,30.6905433
76.7402811,30.6925004
76.7372592,30.6928667
76.737483,30.6933926
76.7384107,30.6934867
76.7376738,30.6935148
76.7383537,30.6935518
76.7381386,30.6938125
76.7389925,30.693862
76.7372822,30.6939703
76.7379999,30.6939754
76.7392532,30.6940302
76.7384673,30.6942876
76.7381115,30.6946969
76.7393835,30.6954972
76.7395666,30.6956124
76.7386551,30.6956279
76.737942,30.6956537
76.7390858,30.6958951
76.7383922,30.6959486
76.7396594,30.696013
76.7379302,30.6963304
76.738034,30.6963892
76.7384939,30.6966495
76.7390486,30.6967463
76.7386302,30.6967267
76.7377589,30.6968487
76.7389242,30.6968931
76.7394777,30.6969825
76.7382817,30.6971531
76.7398323,30.6971986
76.7376886,30.6973137
76.7392052,30.6973181
76.7379854,30.6974979
76.7389824,30.6975831
76.7399008,30.6977122
76.7387478,30.6978779
76.737516,30.6980416
76.7380886,30.6979439
76.7396733,30.698001
76.7392496,30.6981793
76.7384744,30.6981893
76.7392471,30.6986362
76.7322661,30.7066952
76.732206,30.7067671
76.7320126,30.7069984
76.7328138,30.7070337
76.7317567,30.7073044
76.7325938,30.7073576
76.7304597,30.707459
76.7314994,30.7076121
76.7323274,30.7076571
76.730843,30.7076959
76.7302732,30.7078008
76.7312296,30.7079349
76.7320537,30.7079547
76.730571,30.7079881
76.7309731,30.7082417
76.7318077,30.7082921
76.729797,30.7083434
76.7307014,30.7085725
76.7317113,30.7087066
76.7304278,30.7088939
76.731274,30.7089425
76.7301759,30.7091926
76.731004,30.7092345
76.729913,30.709511
76.7307529,30.7095471
76.7297643,30.7096875
76.7296593,30.7098105
76.730459,30.7098608
76.7302126,30.71016
76.7294834,30.7102632
76.7512762,30.6851918
76.7566433,30.6856151
76.7546241,30.6857637
76.7614795,30.6861031
76.7558901,30.6865526
76.7537945,30.6867744
76.758671,30.6868899
76.7601086,30.6877954
76.7579411,30.6878281
76.7651018,30.6883634
76.7615304,30.6886966
76.7665234,30.6892692
76.766638,30.6891533
76.758386,30.6896065
76.7641033,30.6895918
76.7614812,30.6898244
76.7580119,30.6900477
76.7565349,30.6903089
76.7610356,30.6903916
76.7521341,30.6903934
76.7525327,30.6906396
76.7574191,30.6907442
76.7507956,30.6907463
76.7630833,30.6908313
76.7575398,30.6908181
76.7530923,30.6909855
76.7530113,30.6910781
76.7546748,30.6911986
76.7514964,30.6911398
76.7624999,30.6912972
76.7556417,30.6912882
76.7554564,30.6913193
76.7556961,30.6913338
76.7626188,30.6913626
76.7554245,30.6913918
76.7519367,30.6914079
76.7602032,30.6914039
76.7570732,30.6914401
76.7554379,30.6914508
76.7601576,30.691457
76.7557093,30.6914366
76.7555457,30.6915216
76.7556452,30.6915057
76.7587119,30.6915238
76.7524731,30.6917469
76.7541969,30.691803
76.7566666,30.6919397
76.7582302,30.6921486
76.7616275,30.6923726
76.7494492,30.692332
76.753633,30.6924833
76.754236,30.6928537
76.7605953,30.693615
76.74895,30.6938745
76.7559108,30.6938426
76.7601624,30.6941436
76.7599325,30.6941972
76.7518991,30.6956656
76.7424946,30.6958217
76.7558333,30.6959815
76.7531793,30.6964767
76.7437924,30.6967628
76.7573346,30.6968975
76.7549191,30.6970749
76.7575921,30.6970526
76.7541347,30.6970474
76.7524951,30.6973849
76.7551941,30.6972161
76.7536868,30.6976454
76.7534299,30.6979591
76.7520058,30.69793
76.752915,30.6985758
76.7557,30.6988868
76.749602,30.6989612
76.755911,30.7006048
76.7477751,30.7017672
76.747452,30.7018528
76.7477947,30.7020976
76.7513725,30.7024315
76.7455809,30.7033249
76.7404646,30.7033926
76.7441984,30.7049037
76.7427305,30.7067764
76.7424313,30.7071641
76.7433017,30.7071397
76.7423214,30.7073391
76.7436803,30.7073804
76.7429773,30.7075151
76.7428371,30.7076793
76.7433567,30.7077558
76.7419521,30.7076478
76.7442651,30.7077523
76.7432362,30.7079
76.742361,30.7078908
76.7446702,30.70801
76.7439433,30.7081349
76.7425516,30.7080085
76.7438232,30.7082838
76.7420368,30.7082833
76.744363,30.70838
76.7429351,30.7082457
76.7452351,30.7083692
76.7432216,30.7084228
76.7441938,30.7085837
76.7318473,30.7085385
76.7425412,30.7085986
76.7435238,30.7086365
76.7449419,30.7087472
76.7457286,30.708683
76.7428983,30.7088228
76.7447712,30.7089453
76.7439127,30.7089169
76.7417913,30.7094665
76.7407222,30.7090723
76.7440885,30.7090296
76.7454575,30.7090173
76.7315911,30.7090225
76.7434055,30.7091405
76.7452541,30.7092472
76.7426009,30.709163
76.7466837,30.7092904
76.7451545,30.7093525
76.7437913,30.709382
76.7431085,30.7094779
76.7454931,30.70956
76.7464002,30.7096398
76.7442781,30.709687
76.7434481,30.7097889
76.7458708,30.7097915
76.7446953,30.7099482
76.7461327,30.709952
76.7439042,30.7100828
76.7450204,30.7101518
76.7323872,30.7102302
76.7337426,30.7103753
76.745406,30.7103933
76.7440581,30.7106734
76.7456419,30.710541
76.7328656,30.710527
76.7342374,30.7106699
76.7319996,30.7106918
76.7445851,30.7107505
76.7311311,30.7108365
76.7333587,30.710833
76.7449789,30.7109719
76.7324781,30.7109887
76.7316223,30.7111413
76.7338464,30.7111356
76.7329712,30.7112946
76.7307418,30.7113001
76.7340402,30.7112558
76.7321008,30.7114382
76.7334589,30.7115973
76.7312331,30.711605
76.7464545,30.7116847
76.7336519,30.7117171
76.7325939,30.7117441
76.7459046,30.7118462
76.7458107,30.7118491
76.7317116,30.7119018
76.7330816,30.7120468
76.7308338,30.7120807
76.7462834,30.7120744
76.733274,30.7121662
76.7322046,30.7122078
76.7454331,30.7121641
76.7463145,30.7122984
76.7313122,30.7123775
76.7454867,30.7124227
76.7326938,30.7125009
76.7460933,30.7125655
76.7459353,30.7126112
76.7328916,30.7126156
76.7318053,30.7126835
76.7452123,30.7130065
76.7322734,30.7129938
76.7449919,30.7132388
76.7329849,30.713444
76.7447975,30.7140967
76.7430671,30.7155817
76.7416355,30.7179475
76.7389761,30.7179934
76.74122,30.7180623
76.7409602,30.7183982
76.7397943,30.7185887
76.7405031,30.7186299
76.7403253,30.7186412
76.7407605,30.7188039
76.7400888,30.7189024
76.740791,30.7189245
76.7401114,30.7190365
76.7405441,30.7192158
76.7404113,30.7192286
76.7399755,30.719385
76.7400951,30.7194466
76.7308877,30.7129291
76.7331655,30.726859
76.7338311,30.7270645
76.7336095,30.727086
76.7340892,30.7272387
76.7334176,30.7273377
76.7341197,30.7273597
76.7334404,30.7274713
76.73384,30.7276577
76.7334388,30.7279105
76.7313869,30.7304487
76.7310773,30.7306285
76.7309845,30.7306447
76.7314205,30.7308073
76.7307512,30.7309063
76.7307745,30.7310388
76.7312023,30.7312165
76.7310709,30.7312286
76.7307124,30.7315821
76.7263961,30.7303203
76.7209465,30.7306459
76.7221613,30.7307373
76.7214565,30.7308207
76.7207204,30.7308461
76.720801,30.730836
76.7314459,30.7309762
76.7217995,30.7311627
76.7210881,30.7312877
76.7220438,30.7313246
76.722217,30.7314133
76.7209195,30.7314612
76.7215831,30.7314136
76.7207357,30.7316584
76.7213419,30.7317254
76.7213002,30.7317834
76.7205273,30.7319208
76.7211812,30.7319149
76.7215402,30.7319255
76.7211145,30.7319968
76.7202031,30.7320826
76.7218127,30.7320961
76.7203279,30.7321549
76.7209458,30.7321818
76.7214077,30.7321896
76.7256513,30.7321944
76.7204344,30.7322395
76.7208018,30.7323355
76.7216393,30.7323247
76.7207361,30.7324121
76.7211057,30.7325186
76.7206205,30.732565
76.7213608,30.7326728
76.7208762,30.7327283
76.721172,30.7328934
76.7214252,30.7330342
76.7205813,30.7339576
76.7211208,30.7338812
76.717578,30.7341345
76.7209583,30.7342832
76.7212378,30.7344589
76.7215214,30.7346372
76.7200089,30.7346124
76.7202058,30.7347472
76.7223384,30.7347853
76.721845,30.7348416
76.7187995,30.7349128
76.7226265,30.7349985
76.7221297,30.7350208
76.720635,30.7349941
76.7199493,30.7350664
76.7207508,30.7350554
76.7224374,30.7352155
76.7235269,30.735274
76.7210702,30.7352311
76.7185066,30.7352676
76.7204402,30.7353709
76.7213184,30.7354636
76.7196219,30.7354265
76.7182339,30.7356049
76.7200125,30.7356912
76.7201406,30.7357692
76.7197161,30.7360325
76.7207542,30.7361106
76.7210295,30.7362868
76.7194392,30.7363541
76.718023,30.7363646
76.7213483,30.7364877
76.7178344,30.7365759
76.7191729,30.7366713
76.7266868,30.7368042
76.7265436,30.7368105
76.7175424,30.736893
76.7268977,30.7369053
76.7160203,30.736963
76.7220706,30.7369687
76.7197253,30.7370285
76.7262833,30.7370751
76.7163369,30.7371637
76.7172678,30.737224
76.7263275,30.7372506
76.7265952,30.7374018
76.7160184,30.7375384
76.716971,30.737564
76.7195355,30.7376625
76.7154265,30.7376629
76.7171528,30.7376841
76.715747,30.7378626
76.7168416,30.7380534
76.7154518,30.7382049
76.7162865,30.7382015
76.7189074,30.7382267
76.7165847,30.7383909
76.7158699,30.7384478
76.7193974,30.7385245
76.7146332,30.7386003
76.7185973,30.7385847
76.7163112,30.7387062
76.7219986,30.7389358
76.7182774,30.7389579
76.7159892,30.7390796
76.7187222,30.7392429
76.7180118,30.7392626
76.7177354,30.739639
76.71869,30.7396967
76.718293,30.7404439
76.7221635,30.7430839
76.722009,30.743113
76.7224814,30.7432588
76.7225111,30.7434365
76.7218089,30.7433455
76.7224094,30.7436066
76.7269817,30.7371325
76.726818,30.7373581
76.7314968,30.7400854
76.7314417,30.7401477
76.7301551,30.7416435
76.7380205,30.7438642
76.7377574,30.7439099
76.7382342,30.7439816
76.737615,30.7440842
